RunNo,Config,RepYear
11,1,2014
13,4,2015
20,2,2014
2432,3,2015
2433,2,2014
2484,3,2015
2486,2,2014
2574,3,2015
2576,2,2014
2614,3,2015
2615,2,2014
2642,3,2015
2643,2,2014
2651,3,2015
2652,2,2014
2762,3,2015
2763,2,2014
2796,3,2015
2797,2,2014
2833,3,2015
2834,2,2015
3000,4,2015
3018,3,2015
3019,4,2015
3025,1,2014
3026,4,2016
3056,3,2015
3057,4,2016
3067,3,2015
3069,4,2016
3130,3,2015
3132,4,2016
3195,3,2015
3197,4,2016
3236,3,2015
3237,4,2016
3253,1,2014
3286,3,2015
3288,1,2014
3295,4,2016
3327,3,2015
3329,4,2016
3334,3,2015
3335,4,2016
3372,3,2015
3373,4,2016
3386,3,2015
3387,4,2016
3399,3,2015
3400,4,2016
3426,3,2015
3428,4,2016
3461,3,2015
3462,4,2016
3497,3,2015
3498,4,2016
3500,3,2015
3502,4,2016
3510,3,2015
3511,4,2016
3516,3,2015
3518,4,2016
3646,3,2015
3647,4,2016
3675,3,2015
3676,4,2016
3682,3,2015
3683,4,2016
3710,3,2015
3712,4,2016
3742,3,2015
3743,4,2016
3748,3,2015
3750,4,2016
3753,3,2015
3754,4,2016
3797,3,2015
3798,4,2016
3810,3,2015
3811,4,2018
10199,2,2015
10316,4,2018
